epoch,train_loss,val_loss
1,0.007410284587186416,0.0036807117587024413
2,0.002914790055203614,0.002202927387164285
3,0.00227326591778331,0.0019947011648953237
4,0.0014746322736351027,0.0011165740983819382
5,0.0009307339993635347,0.0006691143865248671
6,0.0006052248343756353,0.0004937942339219498
7,0.0005303579172404069,0.0005048004160117772
8,0.0004792046348922196,0.0005073031729639128
9,0.0004401565907014797,0.00033369477966550256
10,0.0003812297273826617,0.0003874622812468766
11,2024.1418615498133,994.828843858507
12,12.377933316346672,0.22491152198226363
13,0.15345162896577408,0.10768237158104225
14,0.08305668272940372,0.065387859388634
